interest in others,agreeableness_1,agreeableness_1,agreeableness_2r,agreeableness_4r,eq_14,,,,,
positivity toward others,agreeableness_5r,agreeableness_5r,agreeableness_8,agreeableness_9r,,,,,,
making others feel good,eq_2,eq_2,eq_6,eq_8,,,,,,
Other_perspectives,openness_to_feedback_3r,openness_to_feedback_3r,openness_to_feedback_7r,openness_to_feedback_8r,openness_to_feedback_9r,openness_to_feedback_10,openness_to_feedback_11r,openness_to_feedback_12,,
growth,openness_to_feedback_5r,openness_to_feedback_5r,openness_to_feedback_6r,,,,,,,
tempo,conscientiousness_1,conscientiousness_8r,outcome_8r,,,,,,,
order,conscientiousness_2r,conscientiousness_3,conscientiousness_4r,conscientiousness_10,efficiency_9r,,,,,
planning,conscientiousness_6,conscientiousness_9,efficiency_2,,,,,,,
outcome,outcome_1,outcome_3,efficiency_3,,,,,,,
above and beyond,outcome_4,outcome_5,outcome_10r,,,,,,,
standards,outcome_6,outcome_7,efficiency_1,,,,,,,
behavior_under_stress,regulation_11,regulation_12r,regulation_13r,regulation_14r,regulation_17,,,,,
recovery_from_crisis,regulation_29,,,,,,,,,
ease_of_stress,stability_2,stability_5,stability_6r,stability_7r,,,,,,
mood_stability,stability_8r,,,,,,,,,
ASSERTIVENESS,assertiveness_1,assertiveness_2,assertiveness_4,,,,,,,
MOTIVATION TO MAKE MONEY,profit_4,profit_5,profit_6,profit_9r,,,,,,
SOCIAL DESIRABILITY,desirability_3,desirability_5,desirability_8,desirability_11r,desirability_17r,,,,,
ATTENTIVENESS TO DETAILS ,details_1,details_4,details_6,details_7,details_8r,details_11,details_12,details_13,,
WORK TENDENCY,work_tendency_5r,work_tendency_8,work_tendency_12,work_tendency_14r,work_tendency_15r,work_tendency_16,work_tendency_17r,cultural_interpersonal_1r,cultural_interpersonal_5r,cultural_interpersonal_7r