EQ,LEARNING,OUTCOME DRIVEN,EMOTIONAL STABILITY,ASSERTIVENESS,MOTIVATION TO MAKE MONEY,SOCIAL DESIRABILITY,ATTENTIVENESS TO DETAILS ,WORK TENDENCY
agreeableness_1,openness_to_feedback_3r,conscientiousness_1,regulation_11,assertiveness_1,profit_4,desirability_3,details_1,work_tendency_5r
agreeableness_2r,openness_to_feedback_5r,conscientiousness_2r,regulation_12r,assertiveness_2,profit_5,desirability_5,details_4,work_tendency_8
agreeableness_4r,openness_to_feedback_6r,conscientiousness_3,regulation_13r,assertiveness_4,profit_6,desirability_8,details_6,work_tendency_12
agreeableness_5r,openness_to_feedback_7r,conscientiousness_4r,regulation_14r,,profit_9r,desirability_11r,details_7,work_tendency_14r
agreeableness_8,openness_to_feedback_8r,conscientiousness_6,regulation_17,,,desirability_17r,details_8r,work_tendency_15r
agreeableness_9r,openness_to_feedback_9r,conscientiousness_8r,regulation_29,,,,details_11,work_tendency_16
eq_2,openness_to_feedback_10,conscientiousness_9,stability_2,,,,details_12,work_tendency_17r
eq_6,openness_to_feedback_11r,conscientiousness_10,stability_5,,,,details_13,cultural_interpersonal_1r
eq_8,openness_to_feedback_12,outcome_1,stability_6r,,,,,cultural_interpersonal_5r
eq_14,,outcome_3,stability_7r,,,,,cultural_interpersonal_7r
,,outcome_4,stability_8r,,,,,
,,outcome_5,,,,,,
,,outcome_6,,,,,,
,,outcome_7,,,,,,
,,outcome_8r,,,,,,
,,outcome_10r,,,,,,
,,efficiency_1,,,,,,
,,efficiency_2,,,,,,
,,efficiency_3,,,,,,
,,efficiency_9r,,,,,,