SHORT NAME,isReverseRelation,HE FACTOR,EN FACTOR,HE EXPLANATION ,EN EXPLANATION,HE HIGH MALE,HE HIGH FEMALE,EN HIGH,HE AVG MALE,HE AVG FEMALE,EN AVG,HE LOW MALE,HE LOW FEMALE
EQ,1,אינטליגנציה רגשית,," יכולתו של האדם לזהות, להיות מודע, לשלוט ולבטא רגשותיו ואת רגשות האחר",,"יפעל באופן אקטיבי ליצירת קשר חיובי ויחסי אמון עם הלקוחות.
יתעניין בלקוח, יפגין אכפתיות, אמפתיה וסבלנות במצבים מורכבים (קשיים בתקשורת, התנגדויות).
יפעל בגמישות למול צרכי הלקוח.
יתאים מסריו ואופן ההתנסחות לסוג הלקוח וסוג הפניה.
יעביר מסריו בצורה רגישה.
יפיק הנאה מיצירת קשרים עם לקוחות ומשיח איתם.

בצוות ובארגון-
<b>יתרום ליצירת אווירה חיובית בצוות העבודה.</b>
ירגיש בנוח עם חברי הצוות ויתקשר איתם בקלות.
יגרום לעובדים חדשים להרגיש בנוח.
יצליח לבטא את מה שמטריד אותו ולפתור בעיות עם חברי הצוות במידת הצורך.
יפגין דומיננטיות בצוות עבודה. 
","תפעל באופן אקטיבי ליצירת קשר חיובי ויחסי אמון עם הלקוחות.
תתעניין בלקוח, תפגין אכפתיות, אמפתיה וסבלנות במצבים מורכבים (קשיים בתקשורת, התנגדויות).
תפעל בגמישות למול צרכי הלקוח.
תתאים מסריה ואופן ההתנסחות לסוג הלקוח וסוג הפניה.
תעביר מסריה בצורה רגישה.
תפיק הנאה מיצירת קשרים עם לקוחות ומשיח איתם.

בצוות ובארגון-
תתרום ליצירת אווירה חיובית בצוות העבודה.
תרגיש בנוח עם חברי הצוות ותתקשר איתם בקלות.
תגרום לעובדים חדשים להרגיש בנוח.
תצליח לבטא את מה שמטריד אותה ולפתור בעיות עם חברי הצוות במידת הצורך.
תפגין דומיננטיות בצוות עבודה. 
",,"ייתכן ויצור קשרים חיוביים עם לקוחות אך יתקשה במצבים מורכבים ורגישים מולם.
יתקשה לפעול בגמישות אל מול צרכי הלקוח כאשר יתנגשו עם צרכיו שלו.

בצוות ובארגון-
סביר שייצר אווירה חיובית סביבו, אך במצבים מאתגרים יתקשה לשמור על אווירה זו.
יטה ליצור קשר חיובי עם חברי הצוות אך יתקשה לשמור עליו במצבים של אי הסכמות
","ייתכן ותצור קשרים חיוביים עם לקוחות אך תתקשה במצבים מורכבים ורגישים מולם.
תתקשה לפעול בגמישות אל מול צרכי הלקוח כאשר יתנגשו עם צרכיה שלה.

בצוות ובארגון-
סביר שתייצר אווירה חיובית סביבה, אך במצבים מאתגרים תתקשה לשמור על אווירה זו.
תיטה ליצור קשר חיובי עם חברי הצוות אך תתקשה לשמור עליו במצבים של אי הסכמות.
",,"יטה ליצור קשרים שטחיים יחסית עם לקוחות (לא מעבר לצרכי העבודה).
יתקשה להתחבר ללקוח ולהבין את צרכיו.
יתקשה ליצור יחסי אמון עם הלקוח.
יתקשה להגיב בסבלנות ובגמישות לצרכי הלקוח.
יטה לסגנון שירותי ""טכני"".

בצוות ובארגון-
יצור קשרים שטחיים יחסית עם חברי הצוות.
לא יתרום לאווירה חיובית בצוות העבודה. 
יתקשה להתחבר עם עובדים חדשים ולסייע להם.
ישמור על פרופיל נמוך בצוות העבודה.
","תיטה ליצור קשרים שטחיים יחסית עם לקוחות (לא מעבר לצרכי העבודה).
תתקשה להתחבר ללקוח ולהבין את צרכיו.
תתקשה ליצור יחסי אמון עם הלקוח.
תתקשה להגיב בסבלנות ובגמישות לצרכי הלקוח.
תיטה לסגנון שירותי ""טכני"".

בצוות ובארגון-
תיצור קשרים שטחיים יחסית עם חברי הצוות.
לא תתרום לאווירה חיובית בצוות העבודה. 
תתקשה להתחבר עם עובדים חדשים ולסייע להם.
תשמור על פרופיל נמוך בצוות העבודה.
"
LEARNING,1,יכולות למידה,,"היכולת ללמוד מאחרים ולשאוף לשיפור מתמיד.
שאיפה להתפתחות והתקדמות, פתיחות לקבלת משוב וליישומו.
",,"ישקיע מאמץ בלמידת המוצרים, הלקוחות והמערכות השונות ובצבירת מומחיות.
יפגין פתיחות לקבלת משוב ויחתור ליישומו.
יצליח לנהל את משימותיו עם הכוונה מעטה.


בצוות ובארגון-
יתייעץ עם עמיתיו בעניינים שונים.
יתעניין בדעותיהם והערכותיהם של עמיתיו על עבודתו.
","תשקיע מאמץ בלמידת המוצרים, הלקוחות והמערכות השונות ובצבירת מומחיות.
תפגין פתיחות לקבלת משוב ויחתור ליישומו.
תצליח לנהל את משימותיו עם הכוונה מעטה.

בצוות ובארגון-
תתייעץ עם עמיתיה בעניינים שונים.
תתעניין בדעותיהם והערכותיהם של עמיתיה על עבודתה
",,"ייתכן וייקח לו זמן עד שיהיה בקיא בעבודתו.
ייתכן ולא יהיה מעוניין בקבלת משוב.
בקבלת משוב, ייתכן ויתקשה ליישמו.


בצוות ובארגון-
לעיתים קרובות יעדיף שלא להתייעץ עם עמיתיו בנושאים שונים.
ייתכן שלא יתעניין בהערכות של חברי הצוות ביחס לעבודתו.
","ייתכן וייקח לה זמן עד שתהיה בקיאה בעבודתה.
ייתכן ולא תהייה מעוניינת בקבלת משוב.
בקבלת משוב, ייתכן ותתקשה ליישמו.


בצוות ובארגון-
לעיתים קרובות תעדיף שלא להתייעץ עם עמיתיה בנושאים שונים.
ייתכן שלא תתעניין בהערכות של חברי הצוות ביחס לעבודתה.
",,"לא יחתור לבקיאות בתכני העבודה. 
יתקשה לקבל משוב  ו/או ביקורת.
בקבלת משוב, לא יעשה מאמצים ליישמו.


בצוות ובארגון-
לא יתעניין בהערכות חברי הצוות ביחס לעבודתו. 
לא תתייעץ עם עמיתיה בנושאים שונים.
","לא תחתור לבקיאות בתכני העבודה. 
תתקשה לקבל משוב ו/או ביקורת.
בקבלת משוב, לא תעשה מאמצים ליישמו.


בצוות ובארגון-
לא תתעניין בהערכות חברי הצוות ביחס לעבודתה.
לא תתייעץ עם עמיתיה בנושאים שונים.
"
OUTCOME DRIVEN,1,תוצאתיות,,"מוכוונות גבוהה לתוצאות 
והגדרת מטרות ברורות . 
מקסום היכולות וניהול המשאבים בצורה האפקטיבית ביותר תוך הפגנת משמעת עצמית.
",,"
סביר שישקיע מאמץ רב על מנת להשיג את יעדי המכירה.
יחתור באופן פעיל לשירות איכותי או לחלופין לסגירת מכירה ולהגדלתה.
יפעל על מנת לסגור עסקה בזמן הקצר ביותר (""תקתקן""). 
יתכנן את זמנו בצורה אפקטיבית למול המשימות וצרכי הלקוחות.
סביר שיצליח לבצע מספר משימות במקביל.
יציב סטנדרטים גבוהים לעצמו ולאחרים.

בצוות ובארגון- 
יהיה בין המובילים בצוות בחתירה להשלמת יעדים. 
ייעזר בחברי הצוות ובממשקים נוספים בארגון על מנת להשלים משימותיו (להגדיל מכירה ולספק שירות איכותי).
","סביר שתשקיע מאמץ רב על מנת להשיג את יעדי המכירה.
תחתור באופן פעיל לשירות איכותי או לחלופין לסגירת מכירה ולהגדלתה.
תפעל על מנת לסגור עסקה בזמן הקצר ביותר (""תקתקנית""). 
תתכנן את זמנה בצורה אפקטיבית למול המשימות וצרכי הלקוחות.
סביר שתצליח לבצע מספר משימות במקביל.
תציב סטנדרטים גבוהים לעצמה ולאחרים.




בצוות ובארגון- 
תהיה בין המובילים בצוות בחתירה להשלמת יעדים. 
תיעזר בחברי הצוות ובממשקים נוספים בארגון על מנת להשלים משימותיה (להגדיל מכירה ולספק שירות איכותי).
",,"לעיתים יתקשה לעמוד ביעדי המכירה. 
ייתכן ולא ישקיע מאמץ רב על מנת להגדיל את המכירה ולנצח בתחרויות / לספק שירות איכותי.
לעיתים יתקשה לבצע מספר משימות במקביל.
במצב בו יהיה עמוס, ייתכן ויתקשה לתעדף את משימותיו.
עשוי להיתקל בקשיים בתכנון ותיעדוף משימות מורכבות.","לעיתים תתקשה לעמוד ביעדי המכירה. 
ייתכן ולא תשקיע מאמץ רב על מנת להגדיל את המכירה ולנצח בתחרויות / לספק שירות איכותי.
לעיתים תתקשה לבצע מספר משימות במקביל.
במצב בו תהיה עמוסה, ייתכן ותתקשה לתעדף את משימותיה.
עשויה להיתקל בקשיים בתכנון ותיעדוף משימות מורכבות.
",,"יתקשה בחתירה ליעדים.
יתקשה לסגור עסקאות ולבצע מכירות. 
יתקשה לספק שירות איכותי על היבטיו.
ייתכן ו""ימרח את הזמן"" ויטה לדחיינות.
סביר שלא יפעל ביעילות, יבצע משימה אחת בזמן נתון.
מתקשה להחליט במה להתמקד.
יתקשה לתכנן את משימותיו.
יעבוד באופן לא מסודר ומאורגן.
","תתקשה בחתירה ליעדים.
תתקשה לסגור עסקאות ולבצע מכירות. 
תתקשה לספק שירות איכותי על היבטיו.
ייתכן ו""תמרח את הזמן"" ותטה לדחיינות.
סביר שלא תפעל ביעילות, תבצע משימה אחת בזמן נתון.
מתקשה להחליט במה להתמקד.
תתקשה לתכנן את משימותיה.
תעבוד באופן לא מסודר ומאורגן.
"
EMOTIONAL STABILITY,1,יציבות רגשית,,"יכולתו של אדם לכוון ולאזן את רגשותיו בהתאם למצב נתון, גם אם מדובר במצב מורכב או קיצוני.",,"ישמור על רמת אנרגיה חיובית וגבוהה לאורך כל היום, גם כאשר היום לא מתנהל כפי שציפה.
ישמור על רמת תפקוד גבוהה גם לנוכח תסכולים ושיחות קשות.
לאחר כישלון יטיב לאזן את רגשותיו ויחזור לעבודתו.

בצוות ובארגון:
ישמור על יחסים מאוזנים אל מול חברי הצוות והמנהלים.
במצבי עימות מול חברי הצוות והמנהלים יצליח לשמור על קור רוח ולבצע את תפקידו על הצד הטוב ביותר.
","תשמור על רמת אנרגיה חיובית וגבוהה לאורך כל היום, גם כאשר היום לא מתנהל כפי שציפתה.
תשמור על רמת תפקוד גבוהה גם לנוכח תסכולים ושיחות קשות.
לאחר כישלון תטיב לאזן את רגשותיה ותחזור לעבודתה.

בצוות ובארגון-
תשמור על יחסים מאוזנים אל מול חברי הצוות והמנהלים.
במצבי עימות מול חברי הצוות והמנהלים תצליח לשמור על קור רוח ולבצע את תפקידה על הצד הטוב ביותר.
",,"לרוב יצליח להתאים ולווסת את רגשותיו אך ייתכן כי במצבים מורכבים מול לקוחות יתקשה לעשות זאת.
מצבים קשים ומאתגרים מול לקוחות אשר יכניסו אותו לסערה רגשית ויקשו עליו לבצע את משימותיו. 

בצוות ובארגון-
לעיתים יתקשה להתאושש מעימותים מול חברי צוות ומנהלים.
","לרוב תצליח להתאים ולווסת את רגשותיה אך יתכן כי במצבים מורכבים מול לקוחות תתקשה לעשות זאת.
מצבים קשים ומאתגרים מול לקוחות אשר יכניסו אותה לסערה רגשית יקשו עליה לבצע את משימותיה. 

בצוות ובארגון-
לעיתים תתקשה להתאושש מעימותים מול חברי צוות ומנהלים.
",,"יתקשה לשמור על קור רוח ועל שליטה מול לקוחות מאתגרים.
יתקשה להתאים עצמו ולתפקד בצורה מיטבית בסביבה דינאמית, לחוצה ומשתנה.
יאבד את סבלנותו מול לקוח כאשר הדברים לא מתנהלים כפי שציפה.

בצוות ובארגון-
עלול לאבד שליטה במצבים של עימות עם חברי צוות או עם ההנהלה.
מצבים של חוסר הסכמה או חוסר הצלחה אל מול חבר צוות או מנהל יפגעו בתפקודו.
","תתקשה לשמור על קור רוח ועל שליטה מול לקוחות מאתגרים.
תתקשה להתאים עצמו ולתפקד בצורה מיטבית בסביבה דינאמית, לחוצה ומשתנה.
תאבד את סבלנותה מול לקוח כאשר הדברים לא מתנהלים כפי שציפתה.

בצוות ובארגון-
עלולה לאבד שליטה במצבים של עימות עם חברי צוות או עם ההנהלה.
מצבים של חוסר הסכמה או חוסר הצלחה אל מול חבר צוות או מנהל יפגעו בתפקודה
"
ASSERTIVENESS,0,אסרטיביות,,"יכולתו של אדם לעמוד על שלו באופן מכבד ולא אגרסיבי. 
ביטוי רגשות ודעות בבהירות ובנחישות.
",,"יטיב לשלוט בתוכן השיחה ולהוביל למכירה מול הלקוח.
יצליח להעביר מסר ברור ללקוח גם במצבים מורכבים או קשיים בתקשורת.
יחתור באופן פעיל להשגת יעדיו והגדלת המכירה / למענה מלא על צרכי הלקוח.

בצוות ובארגון-
יטה לקחת את הפיקוד במשימות צוותיות.
ישפיע על עמיתיו לעבודה. 
","תטיב לשלוט בתוכן השיחה ולהוביל למכירה מול הלקוח.
תצליח להעביר מסר ברור ללקוח גם במצבים מורכבים או קשיים בתקשורת.
תחתור באופן פעיל להשגת יעדיה והגדלת המכירה / למענה מלא על צרכי הלקוח.

בצוות ובארגון-
תיטה לקחת את הפיקוד במשימות צוותיות.
תשפיע על עמיתיה לעבודה. 
",,"לעיתים, כאשר יעמוד מול לקוחות במצבים מורכבים, יתקשה לחתור למכירה/ יאבד מיקוד ויתקשה לענות לצרכי הלקוח.
במצבים מורכבים יתכן ויתקשה להעביר מסר ברור ללקוח.


בצוות ובארגון-
במקרים מסוימים  יתפוס מקום מרכזי יותר בצוות ובאחרים יבחר לשמור על פרופיל נמוך.
","לעיתים, כאשר תעמוד מול לקוחות במצבים מורכבים, תתקשה לחתור למכירה/ תאבד מיקוד ותתקשה לענות לצרכי הלקוח.
במצבים מורכבים תתכן ותתקשה להעביר מסר ברור ללקוח.


בצוות ובארגון-
במקרים מסוימים  תתפוס מקום מרכזי יותר בצוות ובאחרים תבחר לשמור על פרופיל  נמוך.",,"ייתכן ויתקשה לנווט את הלקוח אל עבר מטרותיו.
עשוי להיתקל בקשיים מול התנגדויות ולקוחות בעייתיים (יגיב באגרסיביות או באופן לא תואם).
יתקשה לעמוד על שלו ולכוון ליעדיו מול לקוחות ""עקשנים"".


בצוות ובארגון-
ישמור על פרופיל נמוך.
סביר שלא ינסה למשוך תשומת לב ולהשמיע את דעתו.
","ייתכן ותתקשה לנווט את הלקוח אל עבר מטרותיה.
עשויה להיתקל בקשיים מול התנגדויות ולקוחות בעייתיים (תגיב באגרסיביות או באופן לא תואם).
תתקשה לעמוד על שלה ולכוון ליעדיו מול לקוחות ""עקשנים"".


בצוות ובארגון-
תשמור על פרופיל נמוך.
סביר שלא תנסה למשוך תשומת לב ולהשמיע את דעתה."
MOTIVATION TO MAKE MONEY,1,מוטיבציה להרוויח כסף,,"הרצון להרוויח כסף מהווה מוטיבציה מרכזית בעבודה. 
שאיפה לעצמאות ורווחה כלכלית, תפיסת הכסף כסמל סטטוס.
",,"יפעל במוטיבציה גבוהה למול משימות אשר יגדילו את שכרו (סגירת עסקאות, טיפול בפניות) 
המוטיבציה העיקרית שלו בתפקיד היא הרצון להרוויח כסף.
","תפעל במוטיבציה גבוהה למול משימות אשר יגדילו את שכרה (סגירת עסקאות, טיפול בפניות) 
המוטיבציה העיקרית שלה בתפקיד היא הרצון להרוויח כסף.
",,"השכר והבונוסים חשובים לו אך ניתן לתמרץ אותו בדרכים שונות נוספות (הכרת תודה, מתן תחומי אחריות וכו').","השכר והבונוסים חשובים לה אך ניתן לתמרץ אותה בדרכים שונות נוספות (הכרת תודה, מתן תחומי אחריות וכו').",,המוטיבציה שלו לתפקיד אינה כספית.,המוטיבציה שלה  לתפקיד אינה כספית.
SOCIAL DESIRABILITY,1,רצייה חברתית,,נטייה לענות על שאלות בצורה מרצה ולנהל רושם.,,"יפגין רצון עז לייצר רושם חיובי, גם במחיר חוסר דיוק. 
ישקיע מאמץ על מנת לרצות אחרים.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה","תפגין רצון עז לייצר רושם חיובי, גם במחיר חוסר דיוק. 
תשקיע מאמץ על מנת לרצות אחרים.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה",,לעיתים יציג עצמו כפי שהוא ולעיתים יעשה מאמץ על מנת לייצר רושם חיובי.,לעיתים תציג עצמה כפי שהיא ולעיתים תעשה מאמץ על מנת לייצר רושם חיובי.,,"אינו מנהל רושם. מציג עצמו כפי שהוא.
לא יתאמץ על מנת לרצות אחרים.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה","אינה מנהלת רושם. מציגה עצמה כפי שהיא.
לא תתאמץ על מנת לרצות אחרים.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה"
ATTENTIVENESS TO DETAILS ,1,יכולות עבודה בצוות,,"נטייה להעדפת עבודת צוות על פני עבודה יחידנית.
אמונה בכוחה של הקבוצה.
",,"ישקיע מאמץ 
בעמידה ביעדים צוותים.
נהנה מעבודה בצוות ועובד טוב עם אחרים.
במקרים מסוימים יעדיף את הצלחת הצוות על הצלחתו האישית.
שואף לשיתוף פעולה עם חברי הצוות וההנהלה.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה","תשקיע מאמץ בעמידה ביעדים צוותים.
נהנית מעבודה בצוות ועובדת טוב עם אחרים.
במקרים מסוימים תעדיף את הצלחת הצוות על הצלחתה האישית.
שואפת לשיתוף פעולה עם חברי הצוות וההנהלה.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה
",,"יתכן ויתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
ייעזר בחברי הצוות אם יידרש לכך.
","

יתכן ותתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
תיעזר בחברי הצוות אם תידרש לכך.
",,"יעדיף עבודה יחידנית.
""יתעסק בשלו"" ולא יסייע לחברי הצוות.
יתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
לא מעוניין בשיתוף פעולה עם חברי הצוות וההנהלה.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה","תעדיף עבודה יחידנית.
""תתעסק בשלה"" ולא תסייע לחברי הצוות.
תתקשה להבין את החשיבות של משימות מערכתיות וצוותיות.
לא מעוניינת בשיתוף פעולה עם חברי הצוות וההנהלה.
*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה"
WORK TENDENCY,1,תשומת לב לפרטים,,"חתירה ליסודיות ודיוק בביצוע משימה, תוך שימת לב לכל התחומים הקשורים וסגירת כל הקצוות.",,"יבצע משימותיו באופן מדויק.
יהיה יסודי בעבודתו  במהלך השיחה יעבור על כל הפרטים, יסגור את כל הקצוות.
ידאג לתיעוד כל פרטי השיחה.
ייתכן ויקדיש זמן רב מהנדרש לפרטים הקטנים.

בצוות ובארגון-
יבצע בקרה על עבודת חברי הצוות האחרים. 
","תבצע משימותיה באופן מדויק.
תהיה יסודית בעבודתה – במהלך השיחה תעבור על כל הפרטים, תסגור את כל הקצוות.
תדאג לתיעוד כל פרטי השיחה.
תקדיש זמן רב מהנדרש בפרטים הקטנים.

בצוות ובארגון-
תבצע בקרה על עבודת חברי הצוות האחרים. 
",,"ייתכן ויפספס פרטים קטנים הקשורים למכירה או לעבודה מול הלקוח.
במקרים מורכבים, ייתכן ויתקשה לערוך בקרה על עבודתו.

בצוות ובארגון-
לרוב לא ישים לב לפרטים בעבודתם של חברי צוות אחרים.
","ייתכן ותפספס פרטים קטנים הקשורים למכירה או לעבודה מול הלקוח.
במקרים מורכבים, ייתכן ותתקשה לערוך בקרה על עבודתה.

בצוות ובארגון-
לרוב לא תשים לב לפרטים בעבודתם של חברי צוות אחרים.
",,"עלול ""לעגל פינות"" בעבודתו ולהתקשות לבצע בקרה.
יתקשה לשים לב לניואנסים בשיחה.
ייתכן ויתקשה לסיים את כל מעגל הטיפול בלקוח ולסגור את כל הקצוות.
","עלולה ""לעגל פינות"" בעבודתה ולהתקשות לבצע בקרה.
תתקשה לשים לב לניואנסים בשיחה.
ייתכן ותתקשה לסיים את כל מעגל הטיפול בלקוח ולסגור את כל הקצוות.
"
,,,,,,,,,,,,,
,,,,"*שים/י לב, באיילון העובדים הטובים ביותר נוטים להיות בעלי ציונים נמוכים בממד זה",,,,,,,,,